Location,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
ALTA VISTA DR btwn PALEN AVE & WESMAR DR (__3ZBOUL),2015,1,,,370452.46707,5027137.05391
ALTA VISTA DR btwn SMYTH RD & VALOUR DR (__4O00NK),2015,4,,,370385.2076,5029335.42033
ALTHA AVE @ LEVIS AVE (0009984),2015,1,1,,370687.7121,5033210.589
ALTI PL btwn MOODIE DR & END (__3ZAZR7),2015,1,,,359163.91554,5015025.88249
AMBERCREST ST btwn MEADOWCROFT CRES & MATHESON RD (__3ZA50K),2015,1,,,373046.82378,5033189.67674
AMBERWOOD CRES @ MERIVALE RD (0000101),2015,1,,1,366409.7049,5020016.48
AMBERWOOD CRES @ PRINCE OF WALES DR (0000048),2015,2,,,367435.711,5020647.486
AMBERWOOD CRES btwn LACEWOOD CRT & CHESSWOOD CRT (__3ZA6N4),2015,1,,,366788.42183,5020342.96624
AMBERWOOD CRES btwn WEATHERWOOD CRES & CALAIS CRT (__3ZA6N6),2015,1,,,366566.98445,5020484.57858
AMBLER LANE btwn KINGSVIEW LANE & TALLGRASS LANE (__6N4HUF),2015,2,,,363162.8781,5014152.823
AMBLESIDE DR btwn MCEWEN AVE & NEW ORCHARD AVE (__3ZAZQV),2015,2,,,361149.30732,5026125.28125
AMIENS ST @ PRESTONE DR (0004883),2015,1,,,382918.751,5037525.5781
AMIENS ST @ TENTH LINE RD (0004168),2015,6,,,383352.7279,5037568.2249
ANALDEA DR @ BANK ST (0009265),2015,2,,,375697.8841,5020813.431
ANAND PRIV btwn END & WALKLEY RD (e___2HBJ),2015,2,,,370209.861,5025871.5306
ANDERSON RD @ DOLMAN RIDGE RD (0004147),2015,2,,,378311.751,5030274.546
ANDERSON RD @ HWY 417 ANDERSON IC104R51 (0004150),2015,1,,,380169.771,5025656.5129
ANDERSON RD @ HWY 417 ANDERSON IC104R61 (0004159),2015,1,,,379939.769,5026229.517
ANDERSON RD @ INNES RD (0004200),2015,12,,,376280.7381,5031841.563
ANDERSON RD @ NINTH LINE RD (0004111),2015,3,,,382008.789,5021090.4841
ANDERSON RD @ RIDGE RD (0003631),2015,4,,,379029.7589,5028508.5321
ANDERSON RD btwn DOLMAN RIDGE RD & RIDGE RD (__3ZA2B6),2015,5,,,378677.35677,5029394.00675
ANDERSON RD btwn HWY417 IC104 RAMP16 & HWY417 IC104 RAMP15 (__3ZA2BG),2015,1,,,380054.82161,5025940.853
ANDERSON RD btwn INNES RD & DESJARDINS ST (__3ZBOG0),2015,1,,,376907.02797,5031615.03218
ANDERSON RD btwn LEITRIM RD & EIGHTH LINE RD (__3ZA2B8),2015,2,,,380863.57553,5023926.52206
ANDERSON RD btwn NINTH LINE RD & MITCH OWENS RD (__3ZA20R),2015,1,,,382411.57836,5020067.98226
ANDERSON RD btwn RIDGE RD & RUSSELL RD (__3ZA2B4),2015,2,,,379403.49901,5027595.34299
ANDERSON RD btwn RUSSELL RD & HWY417 IC104 RAMP61 (__3ZA2CK),2015,2,,,379845.55341,5026465.94311
ANDERSON RD btwn WEIR RD & DOLMAN RIDGE RD (__3ZA2B7),2015,3,,,378036.88923,5030887.68333
ANDERSON RD/WEIR RD @ RENAUD RD (0003583),2015,2,,,377767.7449,5031503.5559
ANDERSON ST @ BOOTH ST (0003095),2015,1,,,366650.7019,5030124.566
ANDORA AVE btwn STRANDHERD DR & MADRID AVE (__6N4HXO),2015,1,,,363265.89445,5014264.38668
ANDREW ST @ FOURTH LINE RD (0003711),2015,1,,,366407.657,4999412.286
ANN ST @ BEAVERWOOD RD (0008989),2015,1,,,368854.7041,5009698.3929
ANN ST @ TIGHE ST (0008991),2015,1,,,368785.7041,5009762.394
ANN ST btwn TIGHE ST & BEAVERWOOD RD (__3ZA90B),2015,1,,,368821.998,5009732.29564
